magnitude;TP;TN;FP;FN;total
1;39242;15024;430;1158;55854
2;39124;15139;315;1276;55854
3;39036;15191;263;1364;55854
4;38954;15221;233;1446;55854
5;38887;15240;214;1513;55854
6;38823;15252;202;1577;55854
7;38761;15264;190;1639;55854
8;38708;15275;179;1692;55854
9;38668;15283;171;1732;55854
10;38616;15286;168;1784;55854
20;38261;15334;120;2139;55854
30;38026;15346;108;2374;55854
40;37823;15358;96;2577;55854
50;37674;15365;89;2726;55854
60;37546;15374;80;2854;55854
70;37428;15380;74;2972;55854
80;37306;15385;69;3094;55854
90;37203;15386;68;3197;55854
100;37102;15388;66;3298;55854
